"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","Nấu mới","1012.83","1.519","","","","","","","","",""
"05/01/2026","Đinh Công Thành","","HH40%AG","Hỗn hợp 40% Bạc","","","HH40%AG","Xuất nấu","","40.02","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","DMM","","","",""
"05/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Nhập sau nấu","","","167.86","","","0.43","0.15%","0.252435","0.178","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","T","DMM","","","",""
"05/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","16.03","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"05/01/2026","Đinh Công Thành","","CU","Đồng bi","","","Cu","Xuất nấu","","22.03","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"05/01/2026","Đinh Công Thành","","THAULA","Nguyên liệu Thau lá","","","","Xuất nấu","","2.04","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"05/01/2026","Đinh Công Thành","","HH40%AG","Hỗn hợp 40% Bạc","","","HH40%AG","Nhập sau nấu","","","40.02","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","T","DMM","","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất chấy vôi","","43.64","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất chấy vôi","","43.83","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau chấy vôi","","","43.64","","","0.00","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","T","DMM","","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau chấy vôi","","","43.83","","","0.00","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","T","DMM","","","",""
"06/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","9.14","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"06/01/2026","Đinh Công Thành","","Cu","Đồng bi","","","Cu","Xuất nấu","","8.61","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"06/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","25.57","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
"06/01/2026","Đinh Công Thành","","Zn","Kẽm","","","Zn","Xuất nấu","","2.39","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","DMM","","","",""
