"","DANH MỤC DÂY ĐAN","","","","","","","","","",""
"","","","","","","","","","","",""
"Loại dây","Mã sản phẩm","Loại vàng","Size chỉ","Tên sản phẩm","Trọng lượng","","","","","PO","Deadline"
"","BBY36, 610Y","610Y","","Lắc bi 3.0mm & 6.0mm, 610Y","","","","","","",""
"","BBY38, 750Y","610Y","","Lắc bi 3.0mm & 8.0mm, 750Y","","","","","","",""
"","BBY46, 610Y","610Y","","Lắc bi 4.0mm & 6.0mm, 610Y","","","","","","",""
"","BBY2.54, 750Y","750Y","","Lắc bi 2.5mm & 4.0mm, 750Y","","","","","","",""
"","BBY34, 750Y","750Y","","Lắc bi 2.5mm & 4.0mm, 750Y","","","","","","",""
"","BBY2.5, 750Y","750Y","","Lắc bi 2.5mm, 750Y","","","","","","",""
"","BBW36, 750W","750W","","Lắc bi 3.0mm & 6.0mm, 750W","","","","","","",""
"","BBY2.5, 750Y","750Y","","Lắc bi 2.5mm, 750Y","","","","","","",""
"","CBY2.54, 750Y","750Y","","Dây bi 2.5mm & 4.0mm, 750Y","","","","","","",""
"","CBW2.54, 750W","750W","","Dây bi 2.5mm & 4.0mm, 750W","","","","","","",""
"","CB3, 610Y","610Y","","Dây bi 3.0mm, 610Y","","","","","","",""
"","CB6, 750W","750W","","Dây bi 6.0mm, 750W","26.78","","","","","",""
"","BB6, 750W","750W","","Lắc bi 6.0mm, 750W","12.00","","","","","",""
"","BBW36","750W","","","","","","","","",""
"","CBW3, 750W","750W","","Dây bi 3.0mm, 750W","16.44","","","","","",""
"","CBY3.1","610Y","","Dây bi 3.0mm, 610Y","","","","","","",""
"","CBY3, 750Y","750Y","","Dây bi 3.0mm, 750Y","16.66","","","","","",""
"","BBY3, 750Y","750Y","","Dây bi 3.0mm, 750Y","5.55","","","","","",""
"","BBY46","610Y","","Lắc bi 4.0mm & 6.0mm","7.47","","","","","",""
"","CBW5","750W","","Dây bi 5.0mm, 750W","","","","","","",""
"","BBW5","750W","","Lắc bi 5.0mm, 750W","","","","","","",""
"","CBY2.56","750Y","","Dây bi 2.5mm & 6.0mm, 750Y","12.50","","","","","",""
"","BBW2.56","750W","","Lắc bi 2.5mm & 6.0mm, 750W","","","","","","",""
"","BBW2.54","750W","","Lắc bi 2.5mm & 4.0mm, 750W","","","","","","",""
"","BBW2.546","750W","","Lắc bi 2.5mm & 4.0mm & 6.0mm, 750W","","","","","","",""
"","CBY2.55, 750Y","750Y","","Dây bi 2.5mm và 5.omm, 750Y","12.50","","","","","",""
"","CY80CU,750","750Y","","Dây lật size 0.8, 750Y","16.50","","","","","",""
"F. Dây mì tròn trơn","CW30FR-750W","750W","30","Dây franco vuông 0.3mm, 750W","","","","","","",""
"C","CW30FR610","750W","30","Dây franco vuông 0.3mm, 610W","2.90","","","","","",""
"FR","BB2546","750W","","Dây lắc bi size 2.5/4/6","16.30","","","","","",""
"","CY40SS-610Y","","","","6.09","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","CHI40750W","750W","","Chỉ 750 trắng size 0.4","","","","","","",""
"","CHI30750W","750W","","Chỉ 750 trắng size 0.3","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","BHCBY2.5/3.0-610","","","Thành phẩm Dây bi 2.5/3.0,610Y","","","","","","",""
"","BHBBY2.5/3.0-610","","","Thành phẩm Lắc bi 2.5/3.0,610Y","","","","","","",""
"","BHBBY2.5/4.0-610","","","Thành phẩm Lắc bi 2.5/4.0,610Y","","","","","","",""
"","BHBBY2.5/6.0-610","","","Thành phẩm Lắc bi 2.5/6.0,610Y","","","","","","",""
"","BHBBY3.0/6.0-610","","","Thành phẩm Lắc bi 3.0/6.0,610Y","","","","","","",""
"","BHBBY3.0/8.0-610","","","Thành phẩm Lắc bi 3.0/8.0,610Y","","","","","","",""
"","BHBBY4.0/6.0-610","","","Thành phẩm Lắc bi 4.0/6.0,610Y","","","","","","",""
"","BHCBY3.0-610","","","Thành phẩm Dây bi 3.0,610Y","","","","","","",""
"","","","","","","","","","","",""
"","BBWY2.546-750","","","Lắc bi 750WY, size 2.5 &4.0&6.0","14.50","","","","","",""
"","","","","","","","","","","",""
"","GBY3","","","Vòng bi 3.0 vàng 750Y","13.26","","","","","",""
"","SPBH","","","Sản phẩm bảo hành","","","","","","",""
"","GBW3","","","Vòng bi 3.0 vàng 750Y","18.02","","","","","",""
"","GBR3","","","Vòng bi 3.0 vàng 750Y","18.02","","","","","",""
"","GBY6","","","Vòng bi 6.0 vàng 750Y","30.50","","","","","",""
"","CBWY346","","","Dây bi 3.0mm & 4.0mm & 6.0mm vàng","24.00","","","","","",""
"","CBY46","","","Dây bi 4.0mm & 6.0mm vàng","26.42","","","","","",""
"","CW40DU-BAC","","","Dây lật đơn, size 0.4mm","10.00","","","","","",""
"","PK750YKGN","","","Phụ kiện khóa giọt nước 750Y","0.53","","","","","",""
"","PK750WKGN","","","Phụ kiện khóa giọt nước 750W","0.38","","","","","",""
"","BCN24","","","Bi cà na 2 * 4","","","","","","",""
"","BCN2545","","","Bi cà na 2.5*4.5","","","","","","",""
"","BCN355","","","Bi cà na 3*5.5","","","","","","",""
"","CY30A1","","","","","","","","","",""
"","GBY2.5","","","Vòng bi 2.5 vàng 750Y","13.50","","","","","",""
"","BBY3","","","Lắc bi 3.0 vàng 750Y","2.55","","","","","",""
"","CBY2.5","","","Dây chuyền bi 2.5","13.50","","","","","",""
"","DDC50610Y","","","Dây chữ cong size 0.5","3.23","","","","","",""
"","DDL50610Y","","","","","","","","","",""
"","CY30HT2-610","","","Dây mì dẹp xoắn đoạn","3.09","","","","","",""
"","B2.0, 750Y","750Y","2.0","Bi 2.0, 750Y","0.06","","","","","",""
"","PK750YKCC","","","Phụ kiện khóa càng cua 750Y","0.60","","","","","",""
"","PK750WKCC","","","Phụ kiện khóa càng cua 750W","0.60","","","","","",""
"","CR45CA1-750R","","","Dây chữ cong size 0.45, 750R","3.50","","","","","",""
"","CW60HE-750","","","Dây mì dẹp trơn, size 0.6","","","","","","",""
"","CW60HT1-750","","","Dây mì dẹp xoắn, size 0.6","","","","","","",""
"","CW60FS-750","","","Dây Franco vuông, size 0.6","","","","","","",""
