"[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT","MÃ NL","TÊN NGUYÊN LIỆU","TUỔI ","TỒN ĐẦU KÌ","","THÁNG 01","","","","","","THÁNG 02","","","","","","THÁNG 03","","","","","","QUÝ I/2026","","","","TỒN CUỐI KÌ",""
"38","TP17K","TP 17K","70.80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"39","TP16K","TP 16K","68.00%","0.05","0.00","257.77","4.67","257.77","4.67","0.05","0.00","-","-","-","-","0.05","0.00","-","-","-","-","0.05","0.00","257.77","4.67","257.77","4.67","0.05","0.00"
"40","TP15K","TP 15K","61.00%","74.86","1.22","74.65","1.21","149.61","2.43","-0.10","-0.00","-","-","-","-","-0.10","-0.00","-","-","-","-","-0.10","-0.00","74.65","1.21","149.61","2.43","-0.10","-0.00"
"41","TP10K","TP 10K","41.60%","-","-","1294.71","14.36","1286.65","14.27","8.06","0.09","-","-","-","-","8.06","0.09","-","-","-","-","8.06","0.09","1294.71","14.36","1286.65","14.27","8.06","0.09"
"A.4","THÀNH PHẨM AU","","","292.50","5.57","2341.12","34.53","2562.07","38.75","71.55","1.36","38.68","0.77","66.12","1.32","44.11","0.81","-","-","-","-","44.11","0.81","2379.80","35.31","2628.19","40.07","44.11","0.81"
"B. NGUYÊN VẬT LIỆU BẠC:","","","","2985.10","75.75","1849.73","45.63","1300.97","32.90","3533.86","88.47","751.69","18.69","525.79","13.12","3759.76","94.04","-","-","-","-","3759.76","94.04","2601.42","64.32","1826.76","46.02","3759.76","94.04"
"42","BACNTO","Bạc NTO","99.99%","4.48","0.12","-","-","2.12","0.06","2.36","0.06","-","-","-","-","2.36","0.06","-","-","-","-","2.36","0.06","-","-","2.12","0.06","2.36","0.06"
"43","NLBAC9999","Bạc 99.99","99.99%","1049.86","28.00","-","-","403.50","10.76","646.36","17.24","72.66","1.94","73.74","1.97","645.28","17.21","-","-","-","-","645.28","17.21","72.66","1.94","477.24","12.73","645.28","17.21"
"44","NLBAC999","Bạc 999","99.90%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"45","NLBAC950","Bạc 950","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"46","NLBAC92.5","Bạc 92.5","92.50%","725.69","17.90","379.77","9.37","86.39","2.13","1019.07","25.14","645.78","15.93","343.99","8.49","1320.86","32.58","-","-","-","-","1320.86","32.58","1025.55","25.30","430.38","10.62","1320.86","32.58"
"47","BOTBAC92.5","Bột bạc 92.5","92.50%","364.55","8.99","12.81","0.32","265.90","6.56","111.46","2.75","33.25","0.82","-","-","144.71","3.57","-","-","-","-","144.71","3.57","46.06","1.14","265.90","6.56","144.71","3.57"
"48","VAYHANBAC92.5","Vảy hàn bạc 92.5","92.50%","8.70","0.21","-","-","-","-","8.70","0.21","-","-","-","-","8.70","0.21","-","-","-","-","8.70","0.21","-","-","-","-","8.70","0.21"
"B.1","NGUYÊN LIỆU AG","","","2153.28","55.23","392.58","9.68","757.91","19.51","1787.95","45.40","751.69","18.69","417.73","10.45","2121.91","53.64","-","-","-","-","2121.91","53.64","1144.27","28.37","1175.64","29.96","2121.91","53.64"
"49","PKBAC92.5","Phụ kiện bạc 92.5","92.50%","140.24","3.46","173.44","4.28","89.88","2.22","223.80","5.52","-","-","108.06","2.67","115.74","2.86","-","-","-","-","115.74","2.86","173.44","4.28","197.94","4.88","115.74","2.86"
"B.2","PHỤ KIỆN AG","","","140.24","3.46","173.44","4.28","89.88","2.22","223.80","5.52","-","-","108.06","2.67","115.74","2.86","-","-","-","-","115.74","2.86","173.44","4.28","197.94","4.88","115.74","2.86"
"50","BTPBIBAC92.5","BTP bi bạc 92.5","92.50%","287.68","7.10","-","-","-","-","287.68","7.10","-","-","-","-","287.68","7.10","-","-","-","-","287.68","7.10","-","-","-","-","287.68","7.10"
"51","BTPDAYBAC92.5","BTP dây bạc 92.5","92.50%","215.88","5.33","903.10","22.28","453.18","11.18","665.80","16.42","-","-","-","-","665.80","16.42","-","-","-","-","665.80","16.42","903.10","22.28","453.18","11.18","665.80","16.42"
"B.3","BÁN THÀNH PHẨM AG","","","503.56","12.42","903.10","22.28","453.18","11.18","953.48","23.52","-","-","-","-","953.48","23.52","-","-","-","-","953.48","23.52","903.10","22.28","453.18","11.18","953.48","23.52"
"52","TPBAC92.5","TP dây bạc 92.5","92.50%","188.02","4.64","380.61","9.39","-","-","568.63","14.03","-","-","-","-","568.63","14.03","-","-","-","-","568.63","14.03","380.61","9.39","-","-","568.63","14.03"
"B.4","THÀNH PHẨM AG","","","188.02","4.64","380.61","9.39","-","-","568.63","14.03","-","-","-","-","568.63","14.03","-","-","-","-","568.63","14.03","380.61","9.39","-","-","568.63","14.03"
"C. NGUYÊN VẬT LIỆU PT:","","","","1282.88","31.17","2383.27","57.20","2467.48","59.50","1198.67","28.87","1906.84","45.77","2046.94","49.13","1058.57","25.51","-","-","52.95","1.27","1005.62","24.24","4290.11","102.97","4567.37","109.91","1005.62","24.24"
"53","NLPT900","PT90","90.00%","50.05","1.20","-","-","-","-","50.05","1.20","-","-","-","-","50.05","1.20","-","-","-","-","50.05","1.20","-","-","-","-","50.05","1.20"
"54","NLPT950","PT95","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"55","NLPT999"," PT999","99.90%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"56","NLPT9999"," PT9999","99.99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"57","NLPT99"," PT99","99.00%","144.65","3.82","-","-","116.34","3.07","28.31","0.75","-","-","-","-","28.31","0.75","-","-","-","-","28.31","0.75","-","-","116.34","3.07","28.31","0.75"
"58","NLPT900-PD","PT90-PD","90.00%","318.35","7.64","1671.12","40.11","1688.23","40.52","301.24","7.23","370.09","8.88","336.50","8.08","334.83","8.04","-","-","52.95","1.27","281.88","6.77","2041.21","48.99","2077.68","49.87","281.88","6.77"
"59","NLPT950-PD","PT95-PD","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"60","NLPTPK","PT-PK","90.00%","526.96","12.65","-","-","-","-","526.96","12.65","-","-","-","-","526.96","12.65","-","-","-","-","526.96","12.65","-","-","-","-","526.96","12.65"
"61","BOTPT900-PD","Bột PT90-PD","90.00%","4.35","0.10","6.36","0.15","-","-","10.71","0.26","15.67","0.38","-","-","26.38","0.63","-","-","-","-","26.38","0.63","22.03","0.53","-","-","26.38","0.63"
"62","BOTPT900","Bột PT90","90.00%","3.72","0.09","-","-","-","-","3.72","0.09","-","-","-","-","3.72","0.09","-","-","-","-","3.72","0.09","-","-","-","-","3.72","0.09"
"C.1","NGUYÊN LIỆU PT","","","1048.08","25.50","1677.48","40.26","1804.57","43.59","920.99","22.17","385.76","9.26","336.50","8.08","970.25","23.36","-","-","52.95","1.27","917.30","22.09","2063.24","49.52","2194.02","52.94","917.30","22.09"
"63","PKPT900","Phụ kiện PT90","90.00%","13.55","0.33","-","-","-","-","13.55","0.33","-","-","-","-","13.55","0.33","-","-","-","-","13.55","0.33","-","-","-","-","13.55","0.33"
"64","PKPT900-PD","Phụ kiện PT90-PD","90.00%","77.71","1.87","104.45","2.51","131.03","3.15","51.13","1.23","103.91","2.49","104.05","2.50","50.99","1.22","-","-","-","-","50.99","1.22","208.36","5.00","235.08","5.64","50.99","1.22"
