"[AGVN-KO313]-BẢNG KÊ HÀNG HÓA TỒN KHO KÊNH SỈ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","NGÀY XUẤT KHO","NGÀY TỒN","PO","MÃ MẪU","SKU","THÔNG TIN SP","TUỔI VÀNG ","LOẠI
 VÀNG","SL","TL 1SP 
(gr)","TL TỔNG 
(gr)"," TL TỔNG 
(chỉ) ","TỒN"," Giá công "," Giá công tổng ","Hao lai","TL TỔNG QUY 24K (chỉ)"
"(1)","","(2)","(3)","(4)","-5","(6)","","(8)","(9)","(10)","(11)"," (12)=(11)/3.75 ","(13)","  (14)","","(15)=(12)*1%","(16)=(12)*(7)/99.99%"
"574","","09/07/2026","[DHAG-26/01/03]","CW35HT1","30000829","10KW: DAY MI DEP XOAN 87.86GR CW35HT1, SIZE: 48-50","41.60%","416T","19","4.624","87.860","23.429","  23.429 c ","140,000","2,660,000","0.234","9.748"
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
"","","","","","","","61.00%","","","","","0.000","","","","",""
