"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"CW30HT1-750W","Thành phẩm dây mì dẹp xoắn 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW35HT1-750W","Thành phẩm dây mì dẹp xoắn 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW40HT1-750","Thành phẩm dây mì dẹp xoắn 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW60HE-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","#N/A","Đóng dòng"
"DDMD50750W","Bán thành phẩm dây mì dẹp 750W, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"DDMX50750W","Dây mì dẹp xoắn, size 0.5mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW60HT1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","#N/A","Đóng dòng"
"CW50HT1-750","Thành phẩm dây mì dẹp xoắn 18KW, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"2. Vàng 18KY","","","","0.00","#N/A","#N/A","90.33","#N/A","#N/A","45.17","#N/A","#N/A","45.16","#N/A","#N/A","0.00","#N/A","#N/A","45.16","#N/A","","x","#N/A",""
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY30CA1-750","Thành phẩm dây cong 18KY, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY35CA1-750","Thành phẩm dây cong 18KY, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY40CA1-750","Thành phẩm dây cong 18KY, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY60CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY70CA1-750","Bán thành phẩm dây lật cong 18KV, size 0.70mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY70FS-750","Thành phẩm dây franco vuông 18KY, size 0.7mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Dây bi","","","","0.00","0.00","0.00","90.33","67.75","1.81","45.17","33.88","0.90","45.16","33.87","0.90","0.00","0.00","0.00","45.16","33.87","","","",""
"CBY2.5/4.0-750","Thành phẩm dây bi vàng 18KV, size 2.5mm & 4.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBY4.0/6.0-750","Thành phẩm dây bi vàng 18KV, size 4.0mm & 6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBY2.5/5.0-750","Thành phẩm dây bi 18KY, size 2.5-5.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBY2.0-750","Thành phẩm dây bi 750Y, size 2.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBY3.0-750","Thành phẩm dây bi vàng 18KV, size 3.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"GBY2.5-750","Vòng bi vàng 18KV, size 2.5mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"GBY3.0-750","Vòng bi vàng 18KV, size 3.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"GBY6.0-750","Vòng bi vàng 18KV, size 6.0mm","18K","75.00%","0.00","0.00","0.00","90.33","67.75","1.81","45.17","33.88","0.90","45.16","33.87","0.90","0.00","0.00","0.00","45.16","33.87","","","",""
"e. Lắc bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY2.5/6.0-750","Lắc bi vàng 18KV, size 2.5&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY2.5/4.0-750","Lắc bi vàng 18KV, size 2.5&4.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY6-750Y","Thành phẩm Lắc bi vàng 750Y, size 6.0 mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"f. Lắc bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"CY30HT1-750","Thành phẩm dây dẹp xoắn 18KY, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CY35HT1-750","Thành phẩm dây dẹp xoắn 18KY, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"3. Vàng 18KWY","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"a. Lắc bi","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","0.00","0.00","0.00","0.00","","","#N/A","Đóng dòng"
"BBWY2.5/4.0/6.0-750","Thành phẩm lắc bi vàng 8KTV, size 2.5&4.0&6.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBWY2.54-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CBYW346-750","Thành phẩm dây bi 18KTV, size 3.0&4.0&6.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"4. Vàng 18KR","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC60750R","Bán thành phẩm dây cong hồng 750R, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Dây bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Lắc bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Vòng bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"GBR3.0-750","Vòng bi vàng 18KH, size 3.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"5. Vàng 610W","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW30CU-610","Thành phẩm dây khoen lật 61KT, size 0.3mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW40CU-610","Thành phẩm dây lật 61KT, size 0.4mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW30FS-610","Thành phẩm dây Franco vuông 61KT, size 0.3mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Dây bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Lắc bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"6. Vàng 610Y","","","","0.00","#N/A","#N/A","13.00","#N/A","#N/A","13.07","#N/A","#N/A","-0.07","#N/A","#N/A","0.00","#N/A","#N/A","-0.07","#N/A","","","#N/A",""
"a. Dây chữ cong","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY40FS-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","","Đóng dòng"
"CY50CA1-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","","Đóng dòng"
"CY80CA1-610","Thành phẩm dây cong 610Y, size 0.80mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Dây khoen lật","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"DDL40610Y","Bán thành phẩm dây khoen lật vàng 610Y, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CY60CU-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY70CU-610","Thành phẩm dây khoen lật vàng 610Y, size 0.7mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CY30FS-610","Thành phẩm dây Franco 61KV, size 0.3mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","x","","Đóng dòng"
"CY35FS-610","Thành phẩm dây Franco 610Y, size 0.35","61K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CY50FS-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY60FS-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY70FS-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"d. Dây mì","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY30HE-610","Thành phẩm dây mì dẹp 61KV, size 0.3mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CY40HE-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CY30HT1-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"CY40HT1-610","Thành phẩm dây mì xoắn, size 0.40mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CY60HE-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"CY60HT1-610","Thành phẩm dây mì xoắn, size 0.60mm","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"e. Dây bi","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","#N/A","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Lắc bi","","","","0.00","0.00","0.00","13.00","7.93","0.21","13.07","7.97","0.21","-0.07","-0.04","0.00","0.00","0.00","0.00","-0.07","-0.04","","","KTRA SỐ LIỆU",""
"BBY2.5-610","Thành phẩm lắc bi 610Y, size 2.5","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY3.0-610","Thành phẩm lắc bi 610Y, size 3.0","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBW2.5/4.0/6.0-750","Thành phẩm dây bi 18KT, size 2.5-4.0-6.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY4.0-610","Thành phẩm lắc bi 610Y, size 4.0","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBY4.0/6.0-610","Thành phẩm lắc bi 610Y, size 2.5-3.0","61K","61.00%","0.00","0.00","0.00","13.00","7.93","0.21","13.07","7.97","0.21","-0.07","-0.04","0.00","0.00","0.00","0.00","-0.07","-0.04","","","KTRA SỐ LIỆU",""
"V. TỔNG SẢN PHẨM BẢO HÀNH","","","","0.00","#N/A","#N/A","45.57","#N/A","#N/A","22.79","#N/A","#N/A","22.78","#N/A","#N/A","0.00","#N/A","#N/A","22.78","#N/A","","","#N/A",""
"1. Vàng 18K","","","","0.00","0.00","0.00","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHGBY3.0-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCBY2.55-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BBW3.0/6.0-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","45.57","#N/A","#N/A","22.79","#N/A","#N/A","22.78","#N/A","#N/A","0.00","#N/A","#N/A","22.78","#N/A","","","#N/A",""
"2. Vàng 61K","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCW30CU610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCW40CU610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY30CA1610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY80CA1-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY70CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY60CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCW70CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHBBW2.5/4.0/6.0-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCW30FS610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY30FS610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHBBY3.0-610","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"BHCY40HE-610Y","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"NVL KHÁC","","","","","","","","","","","","","","","","","","","","","","","","Đóng dòng"
"VI. TỔNG NGUYÊN VẬT LIỆU BẠC ","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"NLBAC9999","Nguyên liệu bạc 99.99","Bạc99.99","99.99%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"NLBAC9999.NTO","Nguyên liệu bạc 99.99-NTO","Bạc99.99","99.99%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"NLBACPK","Nguyên liệu bạc 97","Vunbac","97.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","0.00","0.00","","","",""
"NLBAC92","Nguyên liệu bạc 92","Vunbac","97.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"VI. TỔNG NGUYÊN LIỆU KHÁC","","","","0.00","0.00","","0.00","#N/A","","0.00","#N/A","","0.00","#N/A","","0.00","#N/A","","0.00","#N/A","","","",""
"NLDONGLA","#N/A","#N/A","#N/A","0.00","0.00","","0.00","#N/A","","0.00","#N/A","","0.00","#N/A","","","#N/A","","0.00","#N/A","","","",""
"NLTHAULA","#N/A","#N/A","","0.00","0.00","","0.00","0.00","","0.00","0.00","","0.00","0.00","","","0.00","","0.00","0.00","","","",""
"NLKEM","#N/A","#N/A","#N/A","0.00","0.00","","0.00","#N/A","","0.00","#N/A","","0.00","#N/A","","","#N/A","","0.00","#N/A","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
