"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"PK750WCO","Phụ kiện cò khóa 750 trắng","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750YBAS","Bass dẹp 750 vàng","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750YLL","Lưỡi lam 750Y","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750WLL","Phụ kiện lưỡi lam 18KT","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"PK750YCO","Phụ kiện cò khóa 750 vàng","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK750YCK","Chỉ khoen 18KV","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","X","","Đóng dòng"
"PK750YKCC","Phụ kiện khóa càng cua 18KV","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"PK750WKCC","Phụ kiện khóa càng cua 18KT","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"PK610WBAS","Bass dẹp 610 trắng","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK610WCK","Chỉ khoen 610KT","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK610YBAS","Bass dẹp 610 vàng","61K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK610YCO","Cò khóa 610KV","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK610YLL","Lưỡi lam 610Y","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"PK610YCK","Chỉ khoen 610KV","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"A7. Bột bào","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOT750W","Nguyên liệu bột 18KT","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOT750Y","Nguyên liệu bột 18KV","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOT750R","Nguyên liệu bột 18KH","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOTDUA750W","Bột dũa 750W","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOTDUA750Y","Bột dũa 750Y","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOTDUA750R","Bột dũa 750R","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOT610W","Nguyên liệu bột 610KT","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOT610Y","Nguyên liệu bột 610KV","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BOTDUA610Y","Bột dũa 610Y","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"VUNHEO","Vụn khác","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"II. TỔNG HỘI","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","","","Đóng dòng"
"S530","#N/A","#N/A","#N/A","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"H330A","#N/A","#N/A","#N/A","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HY88-3555","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"DUCTRANG","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"CW918","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"CY1418","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH0589","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH0327","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HOICAY","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HOICAYGOC","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH610Y","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH3%B","#N/A","HH3%B","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH20%AG","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH20%AG.01","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"HH25%AG","#N/A","#N/A","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","0.00","","","","Đóng dòng"
"III. TỔNG BÁN THÀNH PHẨM","","","","0.00","0.00","0.00","1071.42","803.57","21.43","998.10","748.58","19.96","73.32","54.99","1.47","0.00","0.00","0.00","88.42","66.32","","","",""
"A.1 TỔNG BÁN THÀNH PHẨM DÂY ĐAN","","","","0.00","0.00","0.00","1071.42","803.57","21.43","998.10","748.58","19.96","73.32","54.99","1.47","0.00","0.00","0.00","88.42","66.32","","","",""
"1. Vàng 18KW","","","","0.00","0.00","0.00","879.42","659.57","17.59","810.97","608.23","16.22","68.45","51.34","1.37","0.00","0.00","0.00","68.45","51.34","","","",""
"a. Dây chữ cong","","","","0.00","0.00","0.00","879.42","659.57","17.59","810.97","608.23","16.22","68.45","51.34","1.37","0.00","0.00","0.00","68.45","51.34","","","",""
"DDC25750W","Bán thành phẩm Dây chữ cong vàng 750W, size 0.25mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"DDC30750W","Bán thành phẩm dây cong vàng 18KW, size 0.30mm","18K","75.00%","0.00","0.00","0.00","18.33","13.75","0.37","23.04","17.28","0.46","-4.71","-3.53","-0.09","0.00","0.00","0.00","-4.71","-3.53","","","KTRA SỐ LIỆU",""
"DDC35750W","Bán thành phẩm dây cong vàng 18KW, size 0.35mm","18K","75.00%","0.00","0.00","0.00","106.10","79.58","2.12","116.19","87.14","2.32","-10.09","-7.57","-0.20","0.00","0.00","0.00","-10.09","-7.57","","","KTRA SỐ LIỆU",""
"DDC50750W","Bán thành phẩm dây cong vàng 18KW, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDC40750W","Bán thành phẩm dây cong vàng 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","754.99","566.24","15.10","671.74","503.81","13.43","83.25","62.44","1.67","0.00","0.00","0.00","83.25","62.44","","","",""
"DDC60750W","Bán thành phẩm dây cong vàng 18KW, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDC70750W","Bán thành phẩm dây cong vàng 18KW, size 0.70mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","Đóng dòng"
"DDC80750W","Bán thành phẩm dây cong vàng 18KW, size 0.80mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","X","","Đóng dòng"
"DDL30750W","Bán thành phẩm dây khoen lật vàng 750W, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDL35750W","Bán thành phẩm dây khoen lật vàng 750W, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
