"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BÁO CÁO CHI TIẾT TỒN BÁN THÀNH PHẨM - KHO L.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dự tính dập định hình","66.576"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hàn ko ăn, đợi hàn băng tải","61.21"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chuyển qua dập thử, Chuyển qua bào, đưa vào PO cũ",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chờ hàn băng tải, do hàn lazer ko ăn","9.516"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chờ hàn băng tải, do hàn lazer ko ăn","126.65835"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hàn lazer ko ăn, dợi hàn bawg tải","180.375"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hàn lazer ko ăn, dợi hàn bawg tải","35.958"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hấp xử lý tiếp","33.488"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x",""
