"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"51","26/07/2021","XKNL.T07-007","Xuất 5.00053Lượng vàng 24K (CML đã duyệt ngày 5pm ngày 24/07 qua task ERP)","24K","Vàng 24K","","gr","","187.52","","Khác","Xuất đợt 1 nhập Kho NVL (Chị Trân)"
"52","28/07/2021","XKNL.T07-008","Xuất 10.0344 Lượng vàng 24K (CML đã duyệt đợt 2 (3l) ngày 5pm ngày 24/07 và đợt 1 (7l) 2pm ngày 28/07 qua task ERP)","24K","Vàng 24K","","gr","","376.29","","Khác","Xuất đợt 2 nhập Kho NVL (Chị Trân)"
"53","09/08/2021","XKNL.T08-001","Xuất 4.0394 Lượng vàng 24K (CML duyệt ngày 09/08/2021 09:10AM)","24K","Vàng 24K","","gr","3","151.48","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"54","14/08/2021","XKNL.T08-003","Xuất 3.991 lượng vàng 24K (CML duyệt ngày 12/08/2021 12:21PM)","24K","Vàng 24K","","gr","1","149.65","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"55","17/08/2021","XKNL.T08-004","Xuất 6.3550 lượng vàng 24K (CML duyệt ngày 16/08/2021 2:07PM)","24K","Vàng 24K","","gr","6.355 lượng","238.32","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"56","20/08/2021","XKNL.T08-005","Xuất 12.1945 lượng vàng 24K (CML duyệt ngày 19/08/2021 4:07PM)","24K","Vàng 24K","","gr","12.1945  lượng","457.2","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"57","22/08/2021","XKNL.T08-007","Xuất 15.0892 lượng vàng 24K (CML duyệt ngày 22/08/2021 12:37PM)","24K","Vàng 24K","","gr","15.0892","564.845","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"58","09/06/2021","XKNL.T09-002","Xuất 3.830Lượng vàng 24K (CML đã duyệt ngày 1:45pm ngày 06/09 qua task ERP)","24K","Vàng 24K","","gr","3.83","143.625","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"59","09/10/2021","XKNL.T09-004","Xuất 8.344Lượng vàng 24K (CML đã duyệt ngày 2:15pm ngày 10/09 qua task ERP)","24K","Vàng 24K","","gr","8.344","312.904","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"60","15/09/2021","XKNL.T09-005","Xuất 5.240Lượng vàng 24K (CML đã duyệt ngày 10:33am ngày 16/09 qua task ERP)","24K","Vàng 24K","","gr","5.24","196.5","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"61","17/09/2021","XKNL.T09-007","Xuất 4.124Lượng vàng 24K (CML đã duyệt ngày 10:33am ngày 16/09 qua task ERP","24K","Vàng 24K","","gr","4.124","154.65","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"62","20/09/2021","XKNL.T09-008","Xuất 6.554 Lượng vàng 24K (CML đã duyệt ngày 11:00am ngày 20/09 qua task ERP)","24K","Vàng 24K","","gr","6.544","245.79","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"63","25/09/2021","XKNL.T09-011","Xuất 3.8618 Lượng vàng 24K (CML đã duyệt ngày 09:13am ngày 25/09 qua task ERP)","24K","Vàng 24K","","gr","3.8618","144.8175","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"64","27/09/2021","XKNL.T09-012","Xuất 3.4705 Lượng vàng 24K (CML đã duyệt ngày 09:13am ngày 25/09 qua task ERP)","24K","Vàng 24K","","gr","3.4705","130.143","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"65","28/09/2021","XKNL.T09-013","Xuất 2.955 Lượng vàng 24K (CML đã duyệt ngày 11:15am ngày 29/09 qua task ERP)","24K","Vàng 24K","","gr","2.955","110.81","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"66","29/09/2021","XKNL.T09-014","Xuất 118.63gr vàng 24K (CML đã duyệt ngày 11:15am ngày 29/09 qua task ERP","24K","Vàng 24K","","gr","3.163","118.63","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"67","02/10/2021","XKNL.T10-001","Xuất 205.27gr vàng 24K-Phân Kim (CML đã duyệt ngày 09:30am ngày 02/10 qua task ERP","24K","Vàng 24K","","gr","5.47","205.27","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"68","02/10/2021","XKNL.T10-002","Xuất 144.57gr vàng 24K-Phân Kim (CML đã duyệt ngày 09:30am ngày 02/10 qua task ERP","24K","Vàng 24K","","gr","3.855","144.57","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"69","09/10/2021","XKNL.T10-005","Xuất 5 Lượng vàng 24K (CML đã duyệt lúc: 4.18PM ngày 08/10/21 qua task ERP)","24K","Vàng 24K","","gr","187.40g","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"70","13/10/2021","XKNL.T10-009","Xuất 1.929  Lượng vàng 24K (CML đã duyệt lúc: 12.41PM ngày 12/10/21 qua task ERP)","24K","Vàng 24K","1.929","gr","72.3375","","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"71","13/10/2021","XKNL.T10-011","Xuất 4.9985  Lượng vàng 24K (CML đã duyệt lúc: 01.34PM ngày 15/10/21 qua task ERP)","24K","Vàng 24K","1.929","gr","187.43","","","Khác","Xuất nhập Kho NVL (Chị Trân)"
