"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"CW40CA4-416","Dây cong khế 0.40,416W","10K","41.60%","TP10K"
"CW30CA4-416","Dây cong khế 0.30,416W","10K","41.60%","TP10K"
"CW50CA4-416","Dây cong khế 0.50,416W","10K","41.60%","TP10K"
"CW70FS-416","Dây Franco vuông 0.70,416W","10K","41.60%","TP10K"
"CW60FS-416","Dây Franco vuông 0.60,416W","10K","41.60%","TP10K"
"BBWY2.0/3.5-750","Lắc bi 2.0/3.5,750WY","18K","75.00%","TP18K"
"BBY2.0/3.5-750","Lắc bi 2.0/3.5,750Y","18K","75.00%","TP18K"
"BBY2.5/4.0/6.0-750","Lắc bi 2.5/4.0/6.0,750Y","18K","75.00%","TP18K"
"CY30SS-680","Dây mì vuông 0.30,680Y","16K","68.00%","TP16K"
"CY60CU-750","Dây khoen lật 0.60,750Y","18K","75.00%","TP18K"
"GBY6.0-610","Vòng bi 6.0, 610Y","15K","61.00%","TP15K"
"GBY6.0-750","Vòng bi 6.0, 750Y","18K","75.00%","TP18K"
"CY30CA4-680","Dây cong khế 0.30,680Y","16K","68.00%","TP16K"
"BBY3.0/5.0-680","Lắc bi 3.0/5.0,680Y","16K","68.00%","TP16K"
"CBW2.0-750","Dây bi 2.0,750W","18K","75.00%","TP18K"
"CW35CA4-750","Dây cong khế 0.35,750W","18K","75.00%","TP18K"
"CBW3.0/5.0-750","Dây bi 3.0/5.0,750W","18K","75.00%","TP18K"
"BBW3.0/5.0-750","Lắc bi 3.0/5.0,750W","18K","75.00%","TP18K"
"CBW2.0/4.0-750","Dây bi 2.0/4.0,750W","18K","75.00%","TP18K"
"BY60FS-610","Lắc Franco vuông 0.60,610Y","15K","61.00%","TP15K"
"BY50FS-610","LắcFranco vuông 0.50,610Y","15K","61.00%","TP15K"
"BBY3.0/4.0-610","Lắc bi 3.0/4.0,610Y","15K","61.00%","TP15K"
"BY35FS-610","Lắc Franco vuông 0.35,610Y","15K","61.00%","TP15K"
"GBW6.0-750","Vòng bi 6.0,750W","18K","75.00%","TP18K"
"CY30SS-750","Dây mì vuông 0.30,750Y","18K","75.00%","TP18K"
"CY30HT1-610","Dây mì dẹp xoắn 0.30,610Y","15K","61.00%","TP15K"
"BBW8.0-750","Lắc bi 8.0,750W","18K","75.00%","TP18K"
"BBY3.0-750","Lắc bi 3.0,750Y","18K","75.00%","TP18K"
"BBW3.5-750","Lắc bi 3.5,750W","18K","75.00%","TP18K"
"BBW3.0/6.0-750","Lắc bi 3.0/6.0,750W","18K","75.00%","TP18K"
"BBW3.5/6.0-750","Lắc bi 3.5/6.0,750W","18K","75.00%","TP18K"
"CY40HT1-610","Dây mì dẹp xoắn 0.40,610Y","15K","61.00%","TP15K"
"CY60HT1-610","Dây mì dẹp xoắn 0.60,610Y","15K","61.00%","TP15K"
"CY30HT1-750","Dây mì dẹp xoắn 0.30,750Y","18K","75.00%","TP18K"
"CY30CA1-680","Dây chữ cong 0.30,680Y","16K","68.00%","TP16K"
"CY30CA1-610","Dây chữ cong 0.30,610Y","15K","61.00%","TP15K"
"BBW2.0/4.0-750","Lắc bi 2.0/4.0,750W","18K","75.00%","TP18K"
"CY60HE-750","Dây mì dẹp 0.60,750Y","18K","75.00%","TP18K"
"CW30CA1-610","Dây chữ cong 0.30,610W","15K","61.00%","TP15K"
"CW50CA1-610","Dây chữ cong 0.50,610W","15K","61.00%","TP15K"
"CW50CA1-750","Dây chữ cong 0.50,750W","18K","75.00%","TP18K"
"BBY5.0-750","Lắc bi 5.0,750Y","18K","75.00%","TP18K"
"BBY3.0/6.0/8.0-610","Lắc bi 3.0/6.0/8.0,610Y","15K","61.00%","TP15K"
"GBW4.0/5.0/6.0/8.0-750","Vòng bi 4.0/5.0/6.0/8.0,750W","18K","75.00%","TP18K"
"BBY3.0/4.0/6.0/8.0-680","Lắc bi 3.0/4.0/6.0/8.0,680Y","16K","68.00%","TP16K"
"BBY2.5/4.0/6.0-680","Lắc bi 2.5/4.0/6.0,680Y","16K","68.00%","TP16K"
"CW40CA4-610","Dây cong khế 0.40,610W","15K","61.00%","TP15K"
"BBY3.0/6.0/8.0-680","Lắc bi 3.0/6.0/8.0,680Y","16K","68.00%","TP16K"
"CW50CA4-610","Dây cong khế 0.50,610W","15K","61.00%","TP15K"
"CW60CA4-610","Dây cong khế 0.60,610W","15K","61.00%","TP15K"
"GBW3.0/4.0/6.0-750","Vòng bi 3.0/4.0/6.0,750W","18K","75.00%","TP18K"
"GBW2.0/4.0-416","Vòng bi 2.0/4.0,416W","10K","41.60%","TP10K"
"GBW2.5/5.0-416","Vòng bi 2.5/5.0,416W","10K","41.60%","TP10K"
"BBY4.0/6.0/8.0-610","Lắc bi 4.0/6.0/8.0,610Y","15K","61.00%","TP15K"
"BBW3.0-416","Lắc bi 3.0,416W","10K","41.60%","TP10K"
"BW35FS-416","Lắc Franco vuông 0.35,610Y","10K","41.60%","TP10K"
"CW35HT1-416","Dây mì dẹp xoắn 0.35,416W","10K","41.60%","TP10K"
"CW30HT1-416","Dây mì dẹp xoắn 0.30, 416W","10K","41.60%","TP10K"
"CW30FS-416","Dây Franco vuông 0.30,416W","10K","41.60%","TP10K"
"CW35FS-416","Dây Franco vuông 0.30,416W","10K","41.60%","TP10K"
"CW30SS-416","Dây mì vuông 0.30,416W","10K","41.60%","TP10K"
"CBW2.5/5.0-416","Dây bi 2.5/5.0,416W","10K","41.60%","TP10K"
"CBW2.0/4.0-416","Dây bi 2.0/4.0,416W","10K","41.60%","TP10K"
"BBY8.0-750","Lắc bi 8.0, 750Y","18K","75.00%","TP18K"
"CBY8.0-750","Dây bi 8.0, 750Y","18K","75.00%","TP18K"
"BBY2.5/3.0/4.0-750","Lắc bi 2.5/3.0/4.0-750","18K","75.00%","TP18K"
"BBY2.0/3.0-750","Lắc bi 2.0/3.0,750Y","18K","75.00%","TP18K"
"BBY3.0/6.0/8.0-750","Lắc bi 3.0/6.0/8.0,750Y","18K","75.00%","TP18K"
"CY60FS-750","Dây Franco vuông 0.60,750Y","18K","75.00%","TP18K"
"CY70CU-750","Dây khoen lật 0.70,750Y","18K","75.00%","TP18K"
"B. BÁN THÀNH PHẨM DÂY","","","",""
"DDC25750Y","Dây chữ cong 0.25,750Y","18K","75.00%","BTPDAY18K"
"DDC30750Y","Dây chữ cong 0.30,750Y","18K","75.00%","BTPDAY18K"
"DDC35750Y","Dây chữ cong 0.35,750Y","18K","75.00%","BTPDAY18K"
"DDC40750Y","Dây chữ cong 0.40,750Y","18K","75.00%","BTPDAY18K"
"DDC50750Y","Dây chữ cong 0.50,750Y","18K","75.00%","BTPDAY18K"
"DDC60750Y","Dây chữ cong 0.60,750Y","18K","75.00%","BTPDAY18K"
"DDL30750Y","Dây khoen lật 0.30,750Y","18K","75.00%","BTPDAY18K"
"DDL35750Y","Dây khoen lật 0.35,750Y","18K","75.00%","BTPDAY18K"
"DDL40750Y","Dây khoen lật 0.40,750Y","18K","75.00%","BTPDAY18K"
"DDL45750Y","Dây khoen lật 0.45,750Y","18K","75.00%","BTPDAY18K"
"DDL50750Y","Dây khoen lật 0.50,750Y","18K","75.00%","BTPDAY18K"
"DDL60750Y","Dây khoen lật 0.60,750Y","18K","75.00%","BTPDAY18K"
"DDL70750Y","Dây khoen lật 0.70,750Y","18K","75.00%","BTPDAY18K"
"DDFV30750Y","Dây Franco vuông 0.30,750Y","18K","75.00%","BTPDAY18K"
"DDFV40750Y","Dây Franco vuông 0.40,750Y","18K","75.00%","BTPDAY18K"
"DDFV45750Y","Dây Franco vuông 0.45,750Y","18K","75.00%","BTPDAY18K"
"DDFV50750Y","Dây Franco vuông 0.50,750Y","18K","75.00%","BTPDAY18K"
