"BÁO CÁO TRẠNG THÁI ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","",""
"Cập nhật đến ngày 10 tháng 07 năm 2026","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","TRẠNG THÁI ĐƠN HÀNG","CHƯA HOÀN TẤT","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","MÃ SẢN PHẨM","TÊN GỌI","LOẠI VÀNG","SL ĐẶT HÀNG
(Viên/Sợi)","TRỌNG LƯỢNG
(Gr)","DEADLINE ĐƠN HÀNG","TIẾN ĐỘ HOÀN THÀNH","SL ĐÃ GIAO","TL ĐÃ GIAO","SL CHƯA HT","TL CHƯA HT","TL quy 24K (L)","CÁCH NGÀY DEADLINE
(Ngày)","CẢNH BÁO"
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW50CA4","DÂY CONG KHẾ 0.50","PT900","5","30.03","","","","","5","30.03","#VALUE!","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW60CA4","DÂY CONG KHẾ 0.60","PT900","5","40.04","","","","","","","","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW35FS","DÂY FRANCO VUÔNG 0.35","PT900","5","31.57","","","","","","","","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW70FS","DÂY FRANCO VUÔNG 0.70","PT900","3","90.78","","","","","","","","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","BW70FS","Lắc Franco vuông 0.70mm","PT900","5","48.28","","","","","","","","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW60HE","DÂY MÌ DẸP TRƠN 0.60","PT900","3","76.88","","","","","","","","",""
"65","THÁNG 06","13/06/2025","PKD SĨ","Chào hàng ","[DHAG-25/06/09]","DD","CY30FR","DÂY FRANCO TRÒN 0.30","610Y","20","58.00","","","","","","","","",""
"66","THÁNG 06","13/06/2025","PKD SĨ","Chào hàng ","[DHAG-25/06/09]","DD","CY35FR","DÂY FRANCO TRÒN 0.35","610Y","10","42.70","","","","","","","","",""
"67","THÁNG 06","16/06/2025","PKD SĨ","Chào hàng","[DHAG-25/06/10]","DD","CY35CA4","DÂY CONG KHẾ 0.35","610Y","20","35.00","","","","","","","","",""
"68","THÁNG 06","16/06/2025","PKD SĨ","Chào hàng","[DHAG-25/06/10]","DD","CY35CA4","DÂY CONG KHẾ 0.35","610Y","20","42.76","","","","","","","","",""
"69","THÁNG 06","16/06/2025","PKD SĨ","Chào hàng","[DHAG-25/06/10]","DD","CY45CA4","DÂY CONG KHẾ 0.45","610Y","20","75.00","","","","","","","","",""
"70","THÁNG 06","16/06/2025","PKD SĨ","Chào hàng","[DHAG-25/06/10]","DD","CY35SS","DÂY MÌ VUÔNG 0.35","610Y","20","97.60","","","","","","","","",""
"71","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY2","LẮC BI 2.0MM KIỂU CARO","610Y","10","36.10","","","","","","","","",""
"72","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY3","LẮC BI 3.0 KIỂU XOÁY","610Y","10","43.56","","","","","","","","",""
"73","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY4","LẮC BI 4.0 KIỂU NGANG","610Y","10","54.56","","","","","","","","",""
"74","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY4","LẮC BI 4.0MM KIỂU DƯA HẤU","610Y","10","54.56","","","","","","","","",""
"75","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY6","LẮC BI 6.0 KIẾU S CONG ","610Y","15","109.73","","","","","","","","",""
"76","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY46","LẮC BI 4.0MM/6.0MM
+ BI 4.0MM KIỂU DƯA HẤU
+ BI 6.0 KIẾU DƯA HẤU","610Y","15","90.24","","","","","","","","",""
"77","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","BBY35","LẮC BI 3.0MM/5.0MM
+ BI 3.0MM KIẾU CHỮ S
+ BI 5.0MM KIỂU CHỮ S","610Y","15","98.85","","","","","","","","",""
"78","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","CBY4","DAY BI 4.0MM KIỂU DƯA HẤU","610Y","5","80.35","","","","","5","80.35","49.01","",""
"79","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","CBY6","DAY BI 6.0MM KIỂU DƯA HẤU","610Y","5","150.90","","","","","5","150.90","92.05","",""
"80","THÁNG 07","24/07/2025","PKD SĨ","Chào hàng","[DHAG-25/07/06]","BB","CBY5","DAY BI 5.0MM KIỂU S CONG","610Y","5","101.94","","","","","5","101.94","62.18","",""
"81","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CY30HE","DÂY MÌ DẸP TRƠN 0.30MM","750Y","1","4.27","","","","","1","4.27","3.20","",""
"82","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CY25HE","DÂY MÌ DẸP TRƠN 0.25MM","750Y","5","12.20","","","","","5","12.20","9.15","",""
"83","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CY30HF","DÂY MÌ DẸP KHẮC MÁY 0.30MM","750Y","5","20.20","","","","","5","20.20","15.15","",""
"84","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CY25SS","DÂY MÌ VUÔNG KHẮC MÁY 0.25MM","750Y","5","12.20","","","","","5","12.20","9.15","",""
"85","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CY30SS","DÂY MÌ VUÔNG KHẮC MÁY 0.30MM","750Y","5","16.90","","","","","5","16.90","12.68","",""
"86","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CW25HE","DÂY MÌ DẸP TRƠN 0.25MM","750W","5","12.20","","","","","5","12.20","9.15","",""
"87","THÁNG 07","29/07/2025","CH1","SR","[DHAG-25/07/07]","DD","CW25SS","DÂY MÌ VUÔNG KHẮC MÁY 0.25MM","750W","5","12.20","","","","","5","12.20","9.15","",""
"88","THÁNG 07","01/08/2025","PKD SĨ","KIM  LONG ","[DHAG-25/07/10]","DD","BY70FS","Lắc Franco vuông 0.70mm","610Y","5","22.03","","","","","5","22.03","13.44","",""
"89","THÁNG 07","01/08/2025","PKD SĨ","KIM  LONG ","[DHAG-25/07/10]","DD","BY70FS","Lắc Franco vuông 0.70mm","610Y","5","23.86","","","","","5","23.86","14.55","",""
"90","THÁNG 08","11/08/2025","PKD SĨ","Chào hàng ","[DHAG-25/08/03]","BB","GBY468","VÒNG BI 4.0/6.0/8.0
- 4.0MM DƯA HẤU
- 6.0MM DƯA HẤU
- 8.0MM DƯA HẤU","610Y","4","32.98","","","","","4","32.98","20.12","",""
"91","THÁNG 08","11/08/2025","PKD SĨ","Chào hàng ","[DHAG-25/08/03]","BB","BBY2.56","LẮC BI 2.5/6.0
- 2.5MM: XOÁY
- 6.0MM: NGANG","750W","5","31.10","","","","","5","31.10","23.33","",""
"92","THÁNG 08","11/08/2025","PKD SĨ","Chào hàng ","[DHAG-25/08/03]","BB","BBY2.56","LẮC BI 2.5/6.0
- 2.5MM: XOÁY
- 6.0MM: DƯA HẤU","750W","5","31.10","","","","","5","31.10","23.33","",""
